pert_id	SMILES
BRD-A00758722	CC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
BRD-A00827783	CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(CO)O
BRD-A01320529	C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O
BRD-A01346607	CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F
BRD-A01636364	CCCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
BRD-A01643550	C[C@H]1C[C@H]2[C@@H]3CC[C@@]([C@]3(C[C@@H]([C@@H]2[C@@]4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)C)O
BRD-A02180903	CCCCC(=O)O[C@@]1([C@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2CCC4=CC(=O)C=C[C@@]43C)F)O)C)C)C(=O)CO
BRD-A02579693	CC1OCC2C(O1)C(C(C(O2)O[C@H]3[C@H]4COC(=O)[C@@H]4[C@@H](C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)OP(=O)(O)O)OC)O)O
BRD-A02759312	CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O
BRD-A03216249	CC1=C(C(=CC=C1)C)NC(=O)C2CCCCN2C
BRD-A03323675	CC(C)C1=NC(=CS1)CN(C)C(=O)NC(C(C)C)C(=O)NC(CC2=CC=CC=C2)CC(C(CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O
BRD-A03427350	CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O
BRD-A03623303	CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
BRD-A03932035	C[N+]1(C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4)C
BRD-A04327189	CNCC(C1=CC(=CC=C1)O)O
BRD-A04352665	CC1=NN=C(N1C2CC3CCC(C2)N3CC[C@@H](C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C
BRD-A04553218	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2
BRD-A05186015	CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C
BRD-A05352148	CC(C)[N+]1(C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3)C
BRD-A06935312	CC1C2CCC3(C(C2(CCC1O)C)C(CC4C3(CC(C4=C(CCC=C(C)C)C(=O)O)OC(=O)C)C)O)C
BRD-A07395371	CC(C)NCC(COC1=CC=C(C=C1)CCC(=O)OC)O
BRD-A07440155	CC(CCC1=CC=CC=C1)NCC(C2=CC(=C(C=C2)O)C(=O)N)O
BRD-A07765530	CNCC(C1=CC(=C(C=C1)O)O)O
BRD-A07780951	CC(C)NCC(C1=CC(=CC(=C1)O)O)O
BRD-A07893380	C=CC(CCC(=O)O)N
BRD-A08027849	CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
BRD-A08062015	CC12CCC(=O)C=C1CCC3C2CCC4(C3CCC4(C)O)C
BRD-A08200164	C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl
BRD-A08660406	CC(=O)N(CC(CN(C1=C(C(=C(C(=C1I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I)C(=O)C)O)C2=C(C(=C(C(=C2I)C(=O)NCC(CO)O)I)C(=O)NCC(CO)O)I
BRD-A09056319	CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC
BRD-A09467419	CCN(CCCCOC(=O)C1=CC(=C(C=C1)OC)OC)C(C)CC2=CC=C(C=C2)OC
BRD-A09472452	C1CCNC(C1)C[NH2+]C(=O)C2=C(C=CC(=C2)OCC(F)(F)F)OCC(F)(F)F
BRD-A09533288	CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
BRD-A09539288	CN1C2CCC1CC(C2)OC(=O)C(C3=CC=CC=C3)O
BRD-A09722536	C1CNP(=O)(OC1)N(CCCl)CCCl
BRD-A10070317	CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
BRD-A10188456	CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)COP(=O)(O)O)O)C)O)F)C
BRD-A10977446	COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
BRD-A11170096	CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O
BRD-A11263757	C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N
BRD-A11990600	C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl
BRD-A12832192	CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O
BRD-A13084692	CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
BRD-A13133631	CC1CC2C3CCC(C3(CC(C2(C4(C1=CC(=O)C=C4)C)F)O)C)(C(=O)C)O
BRD-A13188892	COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4COC5=CC=CC=C5O4)N)OC
BRD-A13650332	CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
BRD-A14566392	CN1C2CC(CC1C3C2O3)OC(=O)C(CO)C4=CC=CC=C4
BRD-A14792000	CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
BRD-A15131297	CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O
BRD-A15297126	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CC(C5=CC(=O)C=CC54C)F)F)O)C)OC(O2)(C)C
BRD-A15493168	CC1[C@H]2C[C@H]3[C@H](N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C2C(=O)c2c(O)cccc12
BRD-A15798299	CC[C@@H]1[C@@]2([C@@H]([C@@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C
BRD-A16332958	C1=CC=C(C=C1)C(C2=CC=CC=C2)S(=O)CC(=O)N
BRD-A16444946	C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO
BRD-A16478930	CC(=O)OCC(=O)C12C(CC3C1(CC(C4(C3CCC5=CC(=O)C=CC54C)F)O)C)OC6(O2)CCCC6
BRD-A16665823	C1=CC(=C(C(=C1)Cl)SC(CCC2=CC=C(C=C2)Cl)CN3C=CN=C3)Cl.[N+](=O)(O)[O-]
BRD-A16700644	CC(COC1=CC=CC=C1)NC(C)C(C2=CC=C(C=C2)O)O
