pert_id	MESH_ID	label
BRD-A01320529	MESH:D000402	1
BRD-A01320529	MESH:D000707	1
BRD-A01320529	MESH:D000799	1
BRD-A01320529	MESH:D001145	1
BRD-A01320529	MESH:D001249	1
BRD-A01320529	MESH:D001281	1
BRD-A01320529	MESH:D001986	1
BRD-A01320529	MESH:D001991	1
BRD-A01320529	MESH:D003371	1
BRD-A01320529	MESH:D004244	1
BRD-A01320529	MESH:D004487	1
BRD-A01320529	MESH:D005076	1
BRD-A01320529	MESH:D005117	1
BRD-A01320529	MESH:D006261	1
BRD-A01320529	MESH:D006339	1
BRD-A01320529	MESH:D006943	1
BRD-A01320529	MESH:D006967	1
BRD-A01320529	MESH:D006973	1
BRD-A01320529	MESH:D007251	1
BRD-A01320529	MESH:D007826	1
BRD-A01320529	MESH:D009325	1
BRD-A01320529	MESH:D010167	1
BRD-A01320529	MESH:D010612	1
BRD-A01320529	MESH:D012135	1
BRD-A01320529	MESH:D012141	1
BRD-A01320529	MESH:D012220	1
BRD-A01320529	MESH:D012852	1
BRD-A01320529	MESH:D013035	1
BRD-A01320529	MESH:D013610	1
BRD-A01320529	MESH:D013617	1
BRD-A01320529	MESH:D014136	1
BRD-A01320529	MESH:D014202	1
BRD-A01320529	MESH:D014581	1
BRD-A01320529	MESH:D014839	1
BRD-A01320529	MESH:D018771	1
BRD-A01320529	MESH:D059352	1
BRD-A01636364	MESH:D000077260	1
BRD-A01636364	MESH:D000077684	1
BRD-A01636364	MESH:D000084462	1
BRD-A01636364	MESH:D000707	1
BRD-A01636364	MESH:D000740	1
BRD-A01636364	MESH:D001008	1
BRD-A01636364	MESH:D001247	1
BRD-A01636364	MESH:D001416	1
BRD-A01636364	MESH:D001794	1
BRD-A01636364	MESH:D001831	1
BRD-A01636364	MESH:D001919	1
BRD-A01636364	MESH:D003248	1
BRD-A01636364	MESH:D003371	1
BRD-A01636364	MESH:D004172	1
BRD-A01636364	MESH:D004244	1
BRD-A01636364	MESH:D004415	1
BRD-A01636364	MESH:D005334	1
BRD-A01636364	MESH:D005414	1
BRD-A01636364	MESH:D005483	1
BRD-A01636364	MESH:D005767	1
BRD-A01636364	MESH:D006261	1
BRD-A01636364	MESH:D006339	1
BRD-A01636364	MESH:D006417	1
BRD-A01636364	MESH:D006732	1
BRD-A01636364	MESH:D006973	1
BRD-A01636364	MESH:D007022	1
BRD-A01636364	MESH:D007239	1
BRD-A01636364	MESH:D007964	1
BRD-A01636364	MESH:D009181	1
BRD-A01636364	MESH:D009325	1
BRD-A01636364	MESH:D009422	1
BRD-A01636364	MESH:D010146	1
BRD-A01636364	MESH:D010243	1
BRD-A01636364	MESH:D010292	1
BRD-A01636364	MESH:D011317	1
BRD-A01636364	MESH:D011537	1
BRD-A01636364	MESH:D011693	1
BRD-A01636364	MESH:D012640	1
BRD-A01636364	MESH:D012678	1
BRD-A01636364	MESH:D013575	1
BRD-A01636364	MESH:D013610	1
BRD-A01636364	MESH:D014549	1
BRD-A01636364	MESH:D014552	1
BRD-A01636364	MESH:D014839	1
BRD-A01636364	MESH:D015746	1
BRD-A01636364	MESH:D015877	1
BRD-A01636364	MESH:D044342	1
BRD-A01636364	MESH:D053609	1
BRD-A01636364	MESH:D059373	1
BRD-A02180903	MESH:C000726608	1
BRD-A02180903	MESH:C565155	1
BRD-A02180903	MESH:D000308	1
BRD-A02180903	MESH:D001763	1
BRD-A02180903	MESH:D002386	1
BRD-A02180903	MESH:D003231	1
BRD-A02180903	MESH:D005119	1
BRD-A02180903	MESH:D005128	1
BRD-A02180903	MESH:D005901	1
BRD-A02180903	MESH:D006261	1
BRD-A02180903	MESH:D006967	1
BRD-A02180903	MESH:D006973	1
BRD-A02180903	MESH:D007429	1
BRD-A02180903	MESH:D007634	1
BRD-A02180903	MESH:D009422	1
BRD-A02180903	MESH:D009798	1
BRD-A02180903	MESH:D009877	1
BRD-A02180903	MESH:D011537	1
BRD-A02180903	MESH:D012163	1
BRD-A02180903	MESH:D012167	1
BRD-A02180903	MESH:D015352	1
BRD-A02180903	MESH:D015715	1
BRD-A02180903	MESH:D020255	1
